empty
floor
desk
chair
books
picture
window
television
floor_mat
person
lamp
door
toilet
sink
mirror
counter
refridgerator
table
sofa
shelves
bed
cabinet
night_stand
bookshelf
shower_curtain
curtain
bathtub
dresser
blinds
wall
whiteboard
pillow
otherfurniture
clothes
