,time,train_loss,epochs
0,1554913550.013895,10.708285977763515,0
1,1554913645.682685,4.786321455432523,0
2,1554913724.619924,4.064062287730556,0
3,1554913784.587256,3.6107394156917447,0
4,1554913852.063746,3.359499469880135,1
5,1554913874.259261,3.153572920830019,1
6,1554913896.411434,3.0462306930172827,1
7,1554913918.756056,2.920851868967856,1
8,1554913941.151054,2.836333005659042,1
9,1554913987.333578,2.7337252093899633,2
10,1554914009.857276,2.672692891090147,2
11,1554914032.139917,2.6109716738423994,2
12,1554914054.422545,2.557813475208898,2
13,1554914076.792751,2.490993692028907,2
14,1554914123.150427,2.463207391000563,3
15,1554914145.548262,2.4261349939530894,3
16,1554914167.824208,2.39373698542195,3
17,1554914190.281,2.3218777564264115,3
18,1554914212.639329,2.2937371807713665,3
19,1554914259.022404,2.2858738053229546,4
20,1554914281.270266,2.201419211203052,4
21,1554914303.609647,2.1899306774139404,4
22,1554914326.045691,2.130009435838269,4
23,1554914348.350251,2.135833347997358,4
24,1554914394.550177,2.1153392445656563,5
25,1554914416.865584,2.068188367351409,5
26,1554914439.195917,2.0294819416538363,5
27,1554914461.590864,1.966137582255948,5
28,1554914484.037967,1.9966759374064784,5
29,1554914530.752489,1.9797048837907854,6
30,1554914553.099867,1.9589085771191506,6
31,1554914575.371195,1.9356308329489924,6
32,1554914597.685515,1.877769281787257,6
33,1554914620.062193,1.854069306004432,6
34,1554914666.99117,1.8658138436655844,7
35,1554914689.377092,1.8521478945209133,7
36,1554914711.661552,1.8035820684125345,7
37,1554914734.078859,1.7839178846728416,7
38,1554914756.665058,1.8007644799447828,7
39,1554914803.561861,1.7590867357869302,8
40,1554914826.153706,1.8014366203738796,8
41,1554914848.811896,1.7626161306135115,8
42,1554914871.427095,1.7364251305980067,8
43,1554914893.829971,1.6883037205665343,8
44,1554914940.792323,1.691821644383092,9
45,1554914963.229251,1.6819474735567648,9
46,1554914985.572693,1.661627100360009,9
47,1554915008.153437,1.6475412537974696,9
48,1554915030.665958,1.6217656750832834,9
49,1554915077.74131,1.610853672027588,10
50,1554915100.309991,1.6059347698765416,10
51,1554915123.031046,1.5867716573899793,10
52,1554915145.578728,1.5910133008033998,10
53,1554915168.023755,1.5524876309979347,10
54,1554915215.132808,1.548553701369993,11
55,1554915237.782312,1.5507023795958488,11
56,1554915260.494005,1.5552230150468889,11
57,1554915283.056287,1.5355005379646056,11
58,1554915305.46528,1.473558122111905,11
59,1554915352.289038,1.4629648770055463,12
60,1554915374.830941,1.4673826579124696,12
61,1554915397.406574,1.437671592158656,12
62,1554915419.688878,1.454436340639668,12
63,1554915442.317106,1.5002675517912833,12
64,1554915489.522988,1.4356479913957658,13
65,1554915512.03408,1.4337724485704977,13
66,1554915534.599112,1.3931496104886454,13
67,1554915557.084671,1.3725723066637594,13
68,1554915579.549819,1.3925108755788496,13
69,1554915626.78168,1.345165068103421,14
70,1554915649.341224,1.34014053498545,14
71,1554915671.8497,1.3280928634828137,14
72,1554915694.174499,1.298469970303197,14
73,1554915716.550852,1.2999536645027898,14
74,1554915763.68251,1.2918993426907448,15
75,1554915786.33165,1.2900688763587707,15
76,1554915808.883935,1.2590070655269008,15
77,1554915831.612243,1.2597321617987849,15
78,1554915854.145976,1.2524781534748692,15
79,1554915901.028986,1.2113652037036033,16
80,1554915923.649998,1.2203333262474305,16
81,1554915945.991082,1.2029226826083275,16
82,1554915968.505763,1.1883221787791098,16
83,1554915990.971974,1.1753752500780168,16
84,1554916038.295391,1.190049990530937,17
85,1554916060.818556,1.166740475162383,17
86,1554916083.225844,1.1507428961415445,17
87,1554916105.778724,1.1466128172412995,17
88,1554916128.075257,1.1413128760553175,17
89,1554916174.849979,1.1180937136373212,18
90,1554916197.239945,1.1320620967495827,18
91,1554916219.764936,1.0916267979529597,18
92,1554916242.095143,1.106710414732656,18
93,1554916264.519931,1.1206932952327113,18
94,1554916311.466031,1.0849950621204991,19
95,1554916334.054715,1.077669455159095,19
96,1554916356.602387,1.0640451965793487,19
97,1554916379.090111,1.0637254003555543,19
98,1554916401.609911,1.0699413591815579,19
99,1554916448.454808,1.0653295978423087,20
100,1554916470.906479,1.0562621970330515,20
101,1554916493.394482,1.024888555849752,20
102,1554916515.909775,1.0210700823414711,20
103,1554916538.208792,1.0279191347860521,20
104,1554916587.626796,1.00899734035615,21
105,1554916609.919527,0.9991217467092699,21
106,1554916632.047788,0.9968819272133612,21
107,1554916654.734896,0.989998834748422,21
108,1554916677.526652,0.9865538977807568,21
109,1554916725.838041,0.9690210492380203,22
110,1554916748.809843,1.0022933713851436,22
111,1554916771.509414,0.9510200927334447,22
112,1554916794.395531,0.9443942923699656,22
113,1554916817.158147,0.9584107629714473,22
114,1554916865.133789,0.9491267069693534,23
115,1554916887.922337,0.9605439516805834,23
116,1554916910.823942,0.9164840617487507,23
117,1554916933.605606,0.906108469732346,23
118,1554916956.217382,0.9004520562387281,23
119,1554917004.199671,0.9055267956949049,24
120,1554917026.963768,0.8813947323829897,24
121,1554917049.907907,0.88254100853397,24
122,1554917073.003894,0.8798126674467518,24
123,1554917096.045846,0.8534414518264032,24
124,1554917144.278647,0.8793481934455133,25
125,1554917167.019312,0.8645039643010786,25
126,1554917189.785527,0.8469066965964532,25
127,1554917212.498651,0.8493171603448929,25
128,1554917235.432443,0.8258346492244352,25
129,1554917283.347409,0.8208486053251451,26
130,1554917306.414543,0.8036614541084536,26
131,1554917329.337223,0.79970766844288,26
132,1554917352.078346,0.7949203521974625,26
133,1554917374.909312,0.7734478327535814,26
134,1554917422.911072,0.8026237660838712,27
135,1554917445.890982,0.7577556929280681,27
136,1554917468.601099,0.7629803515249683,27
137,1554917491.311503,0.763732623669409,27
138,1554917513.958992,0.7521932932638353,27
139,1554917562.307271,0.743326194824711,28
140,1554917585.09459,0.7496815689148442,28
141,1554917607.894083,0.7270770342119278,28
142,1554917630.57347,0.7287303805351257,28
143,1554917653.115615,0.7194765325515501,28
144,1554917701.074131,0.7226808801774056,29
145,1554917723.877505,0.7164318157780555,29
146,1554917746.95223,0.7048909779517881,29
147,1554917769.724114,0.6954908044107498,29
148,1554917792.387891,0.6794987205536135,29
149,1554917840.380086,0.691482178626522,30
150,1554917863.305555,0.7129306908576719,30
151,1554917885.97485,0.6955964353776747,30
152,1554917908.777934,0.6847207296279169,30
153,1554917931.563851,0.665220768220963,30
154,1554917980.072605,0.6698409953425007,31
155,1554918002.940863,0.6760996926215387,31
156,1554918025.713565,0.6401031824850267,31
157,1554918048.459867,0.6450802510784518,31
158,1554918096.137537,0.6421635285500558,32
159,1554918118.943164,0.6425593956824271,32
160,1554918141.854069,0.6268109929177069,32
161,1554918164.625393,0.6122918705786428,32
162,1554918187.292424,0.6278460487242667,32
163,1554918235.300746,0.6249536641182438,33
164,1554918258.331729,0.6297328241409794,33
165,1554918281.281248,0.6263308621221974,33
166,1554918304.228856,0.6071093197791807,33
167,1554918327.310926,0.6126933501612756,33
168,1554918375.085479,0.6059767565419597,34
169,1554918397.866026,0.6177943291202668,34
170,1554918420.81829,0.5989279324008573,34
171,1554918443.656532,0.5967166616070655,34
172,1554918466.61496,0.6124350217080885,34
173,1554918514.43177,0.5980372678849005,35
174,1554918537.406222,0.6081747489590799,35
