,time,train_accuracy,epochs
0,1554913550.01389,0.20413306451612903,0
1,1554913645.682679,0.4783266129032258,0
2,1554913724.619919,0.5912298387096774,0
3,1554913784.587251,0.641633064516129,0
4,1554913852.063741,0.6940524193548387,1
5,1554913874.259254,0.7399193548387096,1
6,1554913896.411428,0.7681451612903226,1
7,1554913918.756051,0.7832661290322581,1
8,1554913941.15105,0.7933467741935484,1
9,1554913987.333574,0.8155241935483871,2
10,1554914009.857272,0.8205645161290323,2
11,1554914032.139913,0.8397177419354839,2
12,1554914054.422541,0.8402217741935484,2
13,1554914076.792747,0.8513104838709677,2
14,1554914123.150423,0.8432459677419355,3
15,1554914145.548257,0.8613911290322581,3
16,1554914167.824203,0.8654233870967742,3
17,1554914190.280996,0.8785282258064516,3
18,1554914212.639325,0.8891129032258065,3
19,1554914259.022394,0.8744959677419355,4
20,1554914281.270262,0.9022177419354839,4
21,1554914303.609643,0.9032258064516129,4
22,1554914326.045686,0.9047379032258065,4
23,1554914348.350246,0.9042338709677419,4
24,1554914394.550173,0.9037298387096774,5
25,1554914416.865579,0.9168346774193549,5
26,1554914439.195913,0.9259072580645161,5
27,1554914461.590859,0.9329637096774194,5
28,1554914484.037963,0.9163306451612904,5
29,1554914530.752485,0.9107862903225806,6
30,1554914553.099862,0.9299395161290323,6
31,1554914575.37119,0.9309475806451613,6
32,1554914597.685508,0.9400201612903226,6
33,1554914620.062189,0.9450604838709677,6
34,1554914666.991166,0.9314516129032258,7
35,1554914689.377087,0.9359879032258065,7
36,1554914711.661548,0.9435483870967742,7
37,1554914734.078854,0.9470766129032258,7
38,1554914756.665054,0.9435483870967742,7
39,1554914803.561857,0.9395161290322581,8
40,1554914826.153701,0.9334677419354839,8
41,1554914848.811892,0.9485887096774194,8
42,1554914871.427091,0.9455645161290323,8
43,1554914893.829966,0.9536290322580645,8
44,1554914940.792318,0.9440524193548387,9
45,1554914963.229247,0.9485887096774194,9
46,1554914985.572687,0.9506048387096774,9
47,1554915008.153433,0.9516129032258065,9
48,1554915030.665954,0.9616935483870968,9
49,1554915077.741305,0.9475806451612904,10
50,1554915100.309986,0.954133064516129,10
51,1554915123.031041,0.954133064516129,10
52,1554915145.578723,0.952116935483871,10
53,1554915168.02375,0.9596774193548387,10
54,1554915215.132804,0.952116935483871,11
55,1554915237.782308,0.9485887096774194,11
56,1554915260.494001,0.9475806451612904,11
57,1554915283.056283,0.9551411290322581,11
58,1554915305.465275,0.967741935483871,11
59,1554915352.289034,0.9606854838709677,12
60,1554915374.830935,0.9571572580645161,12
61,1554915397.40657,0.96875,12
62,1554915419.68887,0.9551411290322581,12
63,1554915442.317101,0.9445564516129032,12
64,1554915489.522983,0.9556451612903226,13
65,1554915512.034076,0.9566532258064516,13
66,1554915534.599108,0.9657258064516129,13
67,1554915557.084667,0.9732862903225806,13
68,1554915579.549815,0.9586693548387096,13
69,1554915626.781676,0.9632056451612904,14
70,1554915649.341219,0.9667338709677419,14
71,1554915671.849696,0.9667338709677419,14
72,1554915694.174488,0.9763104838709677,14
73,1554915716.550844,0.969758064516129,14
74,1554915763.682503,0.9601814516129032,15
75,1554915786.331643,0.9692540322580645,15
76,1554915808.88393,0.9727822580645161,15
77,1554915831.612235,0.9682459677419355,15
78,1554915854.145972,0.9717741935483871,15
79,1554915901.028981,0.9692540322580645,16
80,1554915923.649994,0.9758064516129032,16
81,1554915945.991077,0.9768145161290323,16
82,1554915968.505758,0.9753024193548387,16
83,1554915990.971969,0.9753024193548387,16
84,1554916038.295386,0.9647177419354839,17
85,1554916060.818552,0.9737903225806451,17
86,1554916083.22584,0.9763104838709677,17
87,1554916105.77872,0.9753024193548387,17
88,1554916128.075251,0.9712701612903226,17
89,1554916174.849975,0.9667338709677419,18
90,1554916197.239941,0.9702620967741935,18
91,1554916219.764931,0.9808467741935484,18
92,1554916242.095134,0.967741935483871,18
93,1554916264.519927,0.9712701612903226,18
94,1554916311.466023,0.9662298387096774,19
95,1554916334.05471,0.9737903225806451,19
96,1554916356.602378,0.9742943548387096,19
97,1554916379.090107,0.9763104838709677,19
98,1554916401.609906,0.9722782258064516,19
99,1554916448.454804,0.9621975806451613,20
100,1554916470.906474,0.9682459677419355,20
101,1554916493.394475,0.9793346774193549,20
102,1554916515.909771,0.9747983870967742,20
103,1554916538.208787,0.9742943548387096,20
104,1554916587.626791,0.967741935483871,21
105,1554916609.919523,0.9773185483870968,21
106,1554916632.047783,0.9712701612903226,21
107,1554916654.734892,0.9773185483870968,21
108,1554916677.526647,0.9768145161290323,21
109,1554916725.838036,0.9692540322580645,22
110,1554916748.809837,0.9637096774193549,22
111,1554916771.509409,0.9773185483870968,22
112,1554916794.395524,0.9803427419354839,22
113,1554916817.158143,0.9722782258064516,22
114,1554916865.133784,0.9627016129032258,23
115,1554916887.922332,0.96875,23
116,1554916910.823938,0.9727822580645161,23
117,1554916933.605601,0.9783266129032258,23
118,1554916956.217377,0.9813508064516129,23
119,1554917004.199667,0.9712701612903226,24
120,1554917026.963764,0.9783266129032258,24
121,1554917049.9079,0.9788306451612904,24
122,1554917073.00389,0.9763104838709677,24
123,1554917096.045841,0.9788306451612904,24
124,1554917144.278643,0.9662298387096774,25
125,1554917167.019308,0.9788306451612904,25
126,1554917189.785521,0.9788306451612904,25
127,1554917212.498646,0.9763104838709677,25
128,1554917235.432439,0.9783266129032258,25
129,1554917283.347405,0.9747983870967742,26
130,1554917306.414538,0.9818548387096774,26
131,1554917329.337217,0.9803427419354839,26
132,1554917352.078337,0.9808467741935484,26
133,1554917374.909307,0.984375,26
134,1554917422.911067,0.9702620967741935,27
135,1554917445.890978,0.983366935483871,27
136,1554917468.601095,0.9793346774193549,27
137,1554917491.311496,0.9773185483870968,27
138,1554917513.958987,0.9818548387096774,27
139,1554917562.307267,0.9727822580645161,28
140,1554917585.094586,0.9798387096774194,28
141,1554917607.894079,0.9823588709677419,28
142,1554917630.573466,0.9793346774193549,28
143,1554917653.11561,0.9808467741935484,28
144,1554917701.074127,0.9682459677419355,29
145,1554917723.877501,0.9788306451612904,29
146,1554917746.952223,0.9813508064516129,29
147,1554917769.724109,0.9823588709677419,29
148,1554917792.387882,0.983366935483871,29
149,1554917840.380081,0.969758064516129,30
150,1554917863.305551,0.9682459677419355,30
151,1554917885.974846,0.9742943548387096,30
152,1554917908.77793,0.9798387096774194,30
153,1554917931.563845,0.9778225806451613,30
154,1554917980.072601,0.9778225806451613,31
155,1554918002.940859,0.9793346774193549,31
156,1554918025.713561,0.9863911290322581,31
157,1554918048.459863,0.9803427419354839,31
158,1554918096.13753,0.9758064516129032,32
159,1554918118.94316,0.9783266129032258,32
160,1554918141.854065,0.9788306451612904,32
161,1554918164.625389,0.9863911290322581,32
162,1554918187.29242,0.9818548387096774,32
163,1554918235.300742,0.9717741935483871,33
164,1554918258.331725,0.9742943548387096,33
165,1554918281.281244,0.9763104838709677,33
166,1554918304.228852,0.9808467741935484,33
167,1554918327.310921,0.9778225806451613,33
168,1554918375.085475,0.9727822580645161,34
